turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
1,2023.1,ANA ROSA DOMINGUES DOS SANTOS,5M1234,30,40.0,CET - Módulo C,CET0054,314
1,2023.1,THIAGO SEBASTIANO DE MELO,3M23,20,40.0,CET - Módulo C,CET0055,314
1,2023.1,MARUTSCHKA MARTINI MOESCH,4M34 (28/03/2023 - 25/07/2023),10,10.0,CET - Módulo E,CET0091,314
2,2023.1,ANA ROSA DOMINGUES DOS SANTOS,4M34 (28/03/2023 - 25/07/2023),10,10.0,CET - Módulo E,CET0091,314
1,2023.1,ANTONIO LUIS COSTA VARGAS,6T2345,13,20.0,ICC B1 242,CEM0004,650
1,2023.1,JOÃO LUIZ HOMEM DE CARVALHO,3N12,33,40.0,PAT AT 156,CEM0005,650
1,2023.1,MURILO SILVA DE CAMARGO,2N1234,26,30.0,PJC BT 147,CEM0015,650
2,2023.1,MURILO SILVA DE CAMARGO,4N1234,26,30.0,PJC BT 140,CEM0015,650
1,2023.1,VIVIANE DE MELO RESENDE,3N12,10,10.0,SG 10 - Núcleo de dança - Sala A,CEM0018,650
2,2023.1,VIVIANE CRISTINA VIEIRA,2N12,8,10.0,SG 10 - Núcleo de dança - Sala A,CEM0018,650
1,2023.1,ALBERTO LUÍS ARAÚJO SILVA FILHO,4N1234,39,40.0,ICC AT - 079/8,CEM0021,650
1,2023.1,LUCAS BRITO DE LIMA,4N1234,39,40.0,ICC AT - 079/8,CEM0021,650
1,2023.1,SILVIA BADIM MARQUES,4N1234,39,40.0,ICC AT - 079/8,CEM0021,650
1,2023.1,ENAILE DO ESPIRITO SANTO IADANZA,3M5 7M1234  3T1 5T45,3,8.0,BSA N A1 07/19,CEM0022,650
1,2023.1,HILTON PEREIRA DA SILVA,3M5 7M1234  3T1 5T45,3,8.0,BSA N A1 07/19,CEM0022,650
1,2023.1,MANOEL PEREIRA DE ANDRADE,3M5 7M1234  3T1 5T45,3,8.0,BSA N A1 07/19,CEM0022,650
1,2023.1,JITONE LEONIDAS SOARES,7T2345,47,50.0,ICC BT 504,CEM0023,650
1,2023.1,JONATAS DE FRANCA BARROS,7T2345,47,50.0,ICC BT 504,CEM0023,650
1,2023.1,ANDRE RIBEIRO DA SILVA,7T2345,47,50.0,ICC BT 504,CEM0023,650
1,2023.1,RENATA MELO BARBOSA DO NASCIMENTO,4T2345,35,35.0,PJC BT 100,CEM0043,650
2,2023.1,RENISIA CRISTINA GARCIA FILICE,3N1234,19,20.0,PJC BT 132,CEM0043,650
1,2023.1,HILTON PEREIRA DA SILVA,6M1234,57,60.0,BSA N AT 29/41,CEM0047,650
1,2023.1,MANOEL PEREIRA DE ANDRADE,6M1234,57,60.0,BSA N AT 29/41,CEM0047,650
1,2023.1,ENAILE DO ESPIRITO SANTO IADANZA,6M1234,57,60.0,BSA N AT 29/41,CEM0047,650
1,2023.1,ANDRE RIBEIRO DA SILVA,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,JACKELINE NERES BELLUCCI,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,ISAIAS NERY FERREIRA,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,RAUL LUÍS DE MELO DUSI,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,TAYANE MEDEIROS DE OLIVEIRA,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,ANDREA DE OLIVEIRA GONCALVES,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,ALESSANDRA LISBOA DA SILVA,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,SILVIA EMANOELLA SILVA MARTINS DE SOUZA,7M1234,991,999.0,A definir,CEM0051,650
1,2023.1,JONATAS DE FRANCA BARROS,7M1234,991,999.0,A definir,CEM0051,650
2,2023.1,JITONE LEONIDAS SOARES,7M1234,199,201.0,A definir,CEM0051,650
2,2023.1,ANDRE RIBEIRO DA SILVA,7M1234,199,201.0,A definir,CEM0051,650
1,2023.1,FERNANDO PAIVA SCARDUA,35T23,15,20.0,PJC BT 147,CEM0054,650
1,2023.1,RAPHAEL LANA SEABRA,3N12,46,50.0,PJC BT 116,CEM0056,650
1,2023.1,JALES DANTAS DA COSTA,3N12,46,50.0,PJC BT 116,CEM0056,650
1,2023.1,AILTA BARROS DE SOUZA,5N1234,47,50.0,PJC BT 132,CEM0058,650
1,2023.1,MARCIA GUEDES VIEIRA,5N1234,47,50.0,PJC BT 132,CEM0058,650
1,2023.1,KEILA CRISTIANNE TRINDADE DA CRUZ,4T23,29,30.0,PJC BT 147,CEM0068,650
1,2023.1,ANDREA MATHES FAUSTINO,4T23,29,30.0,PJC BT 147,CEM0068,650
1,2023.1,CLOVIS NEUMANN,3T23,23,30.0,ICC BT 504,CEM0088,650
1,2023.1,ANDRE LUIZ MARQUES SERRANO,3T23,23,30.0,ICC BT 504,CEM0088,650
1,2023.1,MANOEL PEREIRA DE ANDRADE,2M1234,40,40.0,ICC AT - 079/8,CEM0110,650
1,2023.1,JOÃO LUIZ HOMEM DE CARVALHO,2M1234,40,40.0,ICC AT - 079/8,CEM0110,650
1,2023.1,LUCAS BRITO DE LIMA,3N1234,39,40.0,ICC B1 244,CEM0117,650
1,2023.1,RENATA MELO BARBOSA DO NASCIMENTO,4N1234 (28/03/2023 - 25/07/2023),40,45.0,PJC BT 124,CEM0125,650
1,2023.1,MARIA CARMEN AIRES GOMES,35T45,18,45.0,PJC BT 085,CEM0129,650
1,2023.1,LUIS ANTONIO PASQUETTI,6N1 (28/03/2023 - 25/07/2023),35,50.0,PJC BT 021,CEM0132,650
1,2023.1,ISABEL SANTOS DO NASCIMENTO FORMIGA,3T2345,42,50.0,PJC BT 108,CEM0133,650
1,2023.1,GINA VIEIRA PONTE DE ALBUQUERQUE,3T2345,42,50.0,PJC BT 108,CEM0133,650
1,2023.1,LUANA NERY MORAES,3T2345,42,50.0,PJC BT 108,CEM0133,650
1,2023.1,ADRIANO SOUZA SENKEVICS,2M1234 (28/03/2023 - 25/07/2023),22,25.0,PJC BT 101,CEM0134,650
1,2023.1,TATIANE DOS SANTOS DUARTE,35N12 (28/03/2023 - 25/07/2023),37,40.0,PJC BT 125,CEM0135,650
1,2023.1,ANTONIO RAIMUNDO LIMA CRUZ TEIXEIRA,6M1234 (28/03/2023 - 25/07/2023),142,150.0,BSA N A1 22/4,CEM0136,650
1,2023.1,GUILLERMO JOSE ASPER Y VALDES,4M12,11,15.0,BSA S BT 19/10,CEM0137,650
1,2023.1,FRANCISCO JAVIER CONTRERAS PINEDA,2M34,17,20.0,ICC BT 012/63,CEM0138,650
1,2023.1,MARIA HENRIQUETA CAMAROTTI COSTA,5M34 (28/03/2023 - 25/07/2023),33,35.0,ICC AT- 098,CEM0139,650
1,2023.1,ROMULO GUILHERME FERREIRA DA SILVA,6M1234,35,40.0,PJC BT 133,CEM1102,650
1,2023.1,PAULO RAMOS COELHO FILHO,6M1234,35,40.0,PJC BT 133,CEM1102,650
1,2023.1,RAFAELA ROCHA FEIJÓ,6M1234,35,40.0,PJC BT 133,CEM1102,650
1,2023.1,MONIQUE TERESINHA PYRRHO DE SOUZA SILVA,6M1234 (28/03/2023 - 25/07/2023),13,20.0,ICC AT 121/7,CBH0002,1448
1,2023.1,MARTINO GARONZI,24M34 6M5,1,1.0,PPGMAT,DPG0025,170
1,2023.1,RENATO PINTO DA CUNHA,3T45,1,1.0,SG12,DPG0155,170
1,2023.1,GREGORIO LUIS SILVA ARAUJO,3T45,1,1.0,SG12,DPG0155,170
1,2023.1,MARCUS VINICIUS DA SILVA LUNGUINHO,5T345,3,3.0,A definir,DPG0187,170
1,2023.1,ROZANA REIGOTA NAVES,5T345,3,3.0,A definir,DPG0187,170
1,2023.1,DAVI ALEXSANDRO CARDOSO FERREIRA,35T23,1,1.0,A definir,DPG0271,170
1,2023.1,DANIELE NUNES HENRIQUE SILVA,2T23,1,2.0,AT 141,DPG0289,170
1,2023.1,ALICE MARIA DE ARAUJO FERREIRA,3T2345,1,1.0,"Sala 1, Módulo 7 BSS/ICC Darcy Ribeiro",DPG0341,170
1,2023.1,LINEU JOSE PEDROSO,35M34,2,1.0,SG-12 AT-21/11,DPG0364,170
1,2023.1,ANDRE MURILO DE ALMEIDA PINTO,6M1234,1,1.0,A definir,DPG0434,170
1,2023.1,ANDRE PACHECO DE ASSIS,2M12,1,1.0,SG12,DPG0456,170
1,2023.1,THEO ALLAN DARN ZAPATA,35T45 6T4,3,3.0,PPGMAT,DPG0479,170
3,2023.1,THEO ALLAN DARN ZAPATA,35T45 6T4,0,1.0,PPGMAT,DPG0479,170
1,2023.1,CLAUDIA MARCIA LYRA PATO,4T2345,1,1.0,CSS 009/34,DPG0597,170
1,2023.1,KLEBER MELO E SILVA,35M12,3,3.0,Sala de Aula do Espaço Sérgio Barroso,DPG0677,170
1,2023.1,FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO,24T45,1,1.0,Sala de Aula do Espaço Sérgio Barroso,DPG0786,170
1,2023.1,ANDRE PACHECO DE ASSIS,5M34,1,1.0,SG12,DPG0878,170
1,2023.1,AUGUSTO RODRIGUES DA SILVA JUNIOR,7N12,1,1.0,Módulo 7,DPG0890,170
1,2023.1,MARINA MARIA SILVA MAGALHAES,3M234,1,1.0,"Sala 1, Módulo 7 BSS/ICC Darcy Ribeiro",DPG0928,170
1,2023.1,UGO SILVA DIAS,24M12,2,1.0,Sala de Aula do Espaço Sérgio Barroso,DPG1068,170
1,2023.1,JOSE CARLOS PAES DE ALMEIDA FILHO,5T2345,0,1.0,A definir,DPG1081,170
1,2023.1,GUILHERME SOUZA RODRIGUES,24T23,1,1.0,A DEFINIR.,DPG1124,170
1,2023.1,ALEXANDRE SIMOES PILATI,2M1234,1,1.0,"Sala 1, Módulo 7 BSS/ICC Darcy Ribeiro",DPG1153,170
1,2023.1,PATRICIA TUXI DOS SANTOS,3T23,1,1.0,A definir,DPG1175,170
1,2023.1,CARLA TATIANA MOTA ANFLOR,24M34,1,1.0,Sala 2 (2º piso) LDTEA / FGA,DPG1232,170
1,2023.1,ALAN RICARDO DA SILVA,6M34,1,30.0,A DEFINIR,DPG1254,170
1,2023.1,RODRIGO SANTOS DE FARIA,4N1234 (28/03/2023 - 25/07/2023),17,18.0,MEZANINO SALA 02,DPG1255,170
1,2023.1,DANIEL CHAVES CAFE,35M34,1,1.0,Sala de aula (Espaço Sérgio Barroso) e Laboratório,DPG1256,170
1,2023.1,DANIEL GUERREIRO E SILVA,35T45,4,1.0,Sala de Aula do Espaço Sérgio Barroso,DPG1257,170
1,2023.1,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU,5M1234,2,1.0,Sala de Aula - SG11,DPG1258,170
1,2023.1,NEANDER FURTADO SILVA,5M1234,1,1.0,SUBSOLO - INFORMÁTICA (28/03/2023 - 25/07/2023),DPG1259,170
1,2023.1,DANIEL MAURICIO MUNOZ ARBOLEDA,35M12,1,1.0,FGA LabSS - 35M12 (28/03/2023 - 25/07/2023),DPG1261,170
1,2023.1,JOAO JOSE COSTA GONDIM,35N12,3,3.0,FT A1-24/25,DPG1262,170
1,2023.1,CAROLINA QUEIROZ ANDRADE,5T234 (28/03/2023 - 25/07/2023),2,1.0,"Sala 2, Módulo 7 BSS/ICC Darcy Ribeiro",DPG1263,170
1,2023.1,CINTIA DA SILVA PACHECO,5T234 (28/03/2023 - 25/07/2023),2,1.0,"Sala 2, Módulo 7 BSS/ICC Darcy Ribeiro",DPG1263,170
1,2023.1,SHEILA GIARDINI MURTA,5M3,1,1.0,CSS 009/39,DPG1264,170
1,2023.1,PAULO ROBERTO MENEZES LIMA JUNIOR,2T2345,2,5.0,Sala de Reuniões do NPEF (Instituto de Física),DPG1265,170
1,2023.1,GUSTAVO MACEDO DE MELLO BAPTISTA,5M34 (28/03/2023 - 25/07/2023),1,1.0,Laboratório LSRAE2,DPG1266,170
1,2023.1,SUZANA MOREIRA AVILA,4M1234,1,1.0,Sala 3 (2º piso) LDTEA / FGA,DPG1267,170
1,2023.1,PATRICIA TUXI DOS SANTOS,2T23,1,1.0,A definir,DPG1268,170
1,2023.1,JULIANA EUGENIA CAIXETA,5T2345,21,40.0,"FUP - Sala: A1 – 19/63 – Prédio UAC, 1º Andar",DEX1108,158
1,2023.1,PABLO GONCALO PIRES DE CAMPOS MARTINS,5M1234,33,34.0,A definir,DAP0008,351
1,2023.1,ISABELA LARA OLIVEIRA,4T2345,27,30.0,A definir,DAP0011,351
1,2023.1,MAURO GIUNTINI VIANA,6M1234,18,20.0,A definir,DAP0017,351
1,2023.1,RAQUEL PACHECO MELLO CUNHA,5M1234,37,38.0,A definir,DAP0021,351
1,2023.1,EDMUNDO BRANDAO DANTAS,2M34,26,30.0,A definir,DAP0030,351
1,2023.1,RAQUEL PACHECO MELLO CUNHA,6M1234,27,30.0,A definir,DAP0042,351
1,2023.1,EDMUNDO BRANDAO DANTAS,6M12,19,35.0,A definir,DAP0044,351
1,2023.1,SUELEN BRANDES MARQUES VALENTE,2M1234,30,30.0,A definir,DAP0060,351
1,2023.1,JOAO BATISTA LANARI BO,5M1234,44,43.0,A definir,DAP0067,351
1,2023.1,EDUARDO BENTES MONTEIRO,35T23,28,28.0,A definir,DAP0079,351
2,2023.1,EDUARDO BENTES MONTEIRO,35M34,27,27.0,A definir,DAP0079,351
2,2023.1,MARIANA FERREIRA LOPES,5M1234,42,42.0,A definir,DAP0084,351
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS,2M34,20,25.0,A definir,DAP0093,351
1,2023.1,ARMANDO BULCAO,4M34,25,25.0,A definir,DAP0096,351
2,2023.1,CARLOS HENRIQUE NOVIS,4N12,23,25.0,A definir,DAP0096,351
3,2023.1,NORLAN SOUZA DA SILVA,2T23,21,25.0,A definir,DAP0096,351
3,2023.1,ARMANDO BULCAO,2T23,21,25.0,A definir,DAP0096,351
4,2023.1,CARLOS HENRIQUE NOVIS,2T45,30,31.0,A definir,DAP0096,351
5,2023.1,RAQUEL PACHECO MELLO CUNHA,4M12,34,35.0,A definir,DAP0096,351
1,2023.1,BEATRIZ BERALDO BATISTA,5T23,34,35.0,A definir,DAP0098,351
2,2023.1,BEATRIZ BERALDO BATISTA,2T23,35,36.0,A definir,DAP0098,351
1,2023.1,ISABELA LARA OLIVEIRA,3T2345,26,26.0,A definir,DAP0101,351
2,2023.1,LUCIANO MENDES DE SOUZA,5T2345,26,26.0,A definir,DAP0101,351
2,2023.1,RAFAEL DIETZSCH,5T2345,26,26.0,A definir,DAP0101,351
2,2023.1,PRISCILA MONTEIRO BORGES,5T2345,26,26.0,A definir,DAP0101,351
1,2023.1,JOAO BATISTA LANARI BO,3M1234,29,30.0,A definir,DAP0103,351
1,2023.1,PABLO GONCALO PIRES DE CAMPOS MARTINS,4M1234,39,40.0,A definir,DAP0104,351
1,2023.1,DENISE MORAES CAVALCANTE,3M34,23,25.0,A definir,DAP0105,351
1,2023.1,MAURO GIUNTINI VIANA,2M34,23,25.0,A definir,DAP0107,351
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS,2M12,23,25.0,A definir,DAP0108,351
1,2023.1,MAURICIO GOMES DA SILVA FONTELES,4M1234,23,25.0,A definir,DAP0110,351
1,2023.1,MAURICIO GOMES DA SILVA FONTELES,5M34,23,25.0,A definir,DAP0111,351
1,2023.1,DENISE MORAES CAVALCANTE,5M1234,23,23.0,A definir,DAP0115,351
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS,3T23 5T45,30,30.0,A definir,DAP0117,351
1,2023.1,SERGIO RIBEIRO DE AGUIAR SANTOS,3T45 5T23,18,23.0,A definir,DAP0118,351
1,2023.1,MARCELO FEIJO ROCHA LIMA,6M1234,26,26.0,A definir,DAP0120,351
1,2023.1,MARIA FERNANDA DANGELO VALENTIM,4M12  2T2345,32,35.0,A definir,DAP0123,351
1,2023.1,EDMUNDO BRANDAO DANTAS,4M12  2T2345,32,35.0,A definir,DAP0123,351
1,2023.1,SUELEN BRANDES MARQUES VALENTE,4M1234,30,31.0,A definir,DAP0124,351
1,2023.1,RAFAEL DIETZSCH,35M34,25,26.0,A definir,DAP0125,351
2,2023.1,BEATRIZ BERALDO BATISTA,2M1234,22,25.0,A definir,DAP0126,351
1,2023.1,LUCIANO MENDES DE SOUZA,3456M1234,13,15.0,A definir,DAP0128,351
2,2023.1,CARINA LUISA OCHI FLEXOR,3456M1234,11,15.0,A definir,DAP0128,351
2,2023.1,CARINA LUISA OCHI FLEXOR,3456M1234,11,15.0,A definir,DAP0128,351
1,2023.1,PRISCILA MONTEIRO BORGES,3M1234,27,28.0,A definir,DAP0130,351
4,2023.1,NORLAN SOUZA DA SILVA,3T2345,17,30.0,A definir,DAP0143,351
5,2023.1,MARIANA SOUTO DE MELO SILVA,4T2345,5,5.0,A definir,DAP0143,351
1,2023.1,RAQUEL PACHECO MELLO CUNHA,2M1234,15,20.0,A definir,DAP0145,351
2,2023.1,PABLO GONCALO PIRES DE CAMPOS MARTINS,5T2345,7,8.0,A definir,DAP0145,351
3,2023.1,RAFAEL DIETZSCH,4M1234,20,21.0,a definir,DAP0145,351
3,2023.1,PRISCILA MONTEIRO BORGES,4M1234,20,21.0,a definir,DAP0145,351
3,2023.1,EDUARDO LUSTOSA BELGA,4M1234,20,21.0,a definir,DAP0145,351
1,2023.1,MARIANA SOUTO DE MELO SILVA,6M1234,30,30.0,A definir,DAP0147,351
1,2023.1,MAURO GIUNTINI VIANA,4M1234,26,30.0,A definir,DAP0149,351
1,2023.1,ÍTALO CAJUEIRO DE OLIVEIRA,6T2345,46,46.0,A definir,DAP0150,351
1,2023.1,MARIANA SOUTO DE MELO SILVA,3M34,31,31.0,A definir,DAP0154,351
1,2023.1,MAURICIO GOMES DA SILVA FONTELES,2M1234,24,30.0,A definir,DAP0158,351
2,2023.1,EDUARDO BENTES MONTEIRO,5T45,20,20.0,A definir,DAP0164,351
3,2023.1,RAFAEL DIETZSCH,2M34,18,20.0,a definir,DAP0164,351
1,2023.1,RAFIZA LUZIANI VARAO RIBEIRO CARVALHO,3T2345,23,35.0,A definir,DAP0170,351
1,2023.1,LILIANE MARIA MACEDO MACHADO,3T2345,23,35.0,A definir,DAP0170,351
1,2023.1,ARMANDO BULCAO,3M34,26,27.0,A definir,DAP0171,351
1,2023.1,BEATRIZ BERALDO BATISTA,35M12,34,35.0,A definir,DAP0172,351
1,2023.1,MAURICIO GOMES DA SILVA FONTELES,6M12,20,25.0,A definir,DAP0174,351
1,2023.1,DENISE MORAES CAVALCANTE,4M1234,20,25.0,A definir,DAP0175,351
1,2023.1,MAURICIO GOMES DA SILVA FONTELES,3M1234,20,25.0,A definir,DAP0176,351
1,2023.1,CRISTIANE PARENTE DE SA BARRETO,4N1234,29,30.0,"FAC- ICC Norte, Bloco A",COM0002,345
1,2023.1,DIONE OLIVEIRA MOURA,5T2345 7T23,14,15.0,"FAC- ICC Norte, Bloco A",COM0006,345
2,2023.1,LUIZA SPINOLA AMARAL,7T23  5N1234,14,20.0,"FAC- ICC Norte, Bloco A",COM0006,345
1,2023.1,MARIANA FERREIRA LOPES,3T2345 7T45,7,20.0,"FAC- ICC Norte, Bloco A",COM0007,345
1,2023.1,MILENA DOS SANTOS MARRA,3T2345 7T45,7,20.0,"FAC- ICC Norte, Bloco A",COM0007,345
1,2023.1,DIONE OLIVEIRA MOURA,3T2345 7T45,7,20.0,"FAC- ICC Norte, Bloco A",COM0007,345
2,2023.1,GISELE PIMENTA DE OLIVEIRA,7M34  4T2345,35,35.0,"FAC- ICC Norte, Bloco A",COM0007,345
1,2023.1,FABIOLA ORLANDO CALAZANS MACHADO,3N1234,44,46.0,"FAC- ICC Norte, Bloco A",COM0127,345
1,2023.1,DELCIA MARIA DE MATTOS VIDAL,5N1234,47,50.0,"FAC- ICC Norte, Bloco A",COM0128,345
1,2023.1,GUILHERME LOBAO DE QUEIROZ,2N1234,46,46.0,"FAC- ICC Norte, Bloco A",COM0129,345
1,2023.1,TIAGO QUIROGA FAUSTO NETO,6N1234,46,50.0,"FAC- ICC Norte, Bloco A",COM0130,345
1,2023.1,ELEN CRISTINA GERALDES,4N1234,43,45.0,"FAC- ICC Norte, Bloco A",COM0131,345
1,2023.1,GABRIELA PEREIRA DE FREITAS,4N1234,40,40.0,"FAC- ICC Norte, Bloco A",COM0132,345
1,2023.1,DELCIA MARIA DE MATTOS VIDAL,4N1234,40,40.0,"FAC- ICC Norte, Bloco A",COM0132,345
1,2023.1,TIAGO QUIROGA FAUSTO NETO,5N1234,41,41.0,"FAC- ICC Norte, Bloco A",COM0133,345
1,2023.1,LUIZA SPINOLA AMARAL,6N1234,31,40.0,"FAC- ICC Norte, Bloco A",COM0134,345
1,2023.1,CARLOS HENRIQUE NOVIS,2N1234,38,40.0,"FAC- ICC Norte, Bloco A",COM0135,345
1,2023.1,JOAO JOSE AZEVEDO CURVELLO,3N1234,32,40.0,"FAC- ICC Norte, Bloco A",COM0136,345
1,2023.1,LUISA GUIMARAES LIMA,5N1234,39,40.0,"FAC- ICC Norte, Bloco A",COM0137,345
2,2023.1,LUISA GUIMARAES LIMA,35T56,22,25.0,"FAC- ICC Norte, Bloco A",COM0137,345
1,2023.1,GABRIELA PEREIRA DE FREITAS,3N1234,45,45.0,"FAC- ICC Norte, Bloco A",COM0138,345
1,2023.1,JOAO JOSE AZEVEDO CURVELLO,4N1234,40,41.0,"FAC- ICC Norte, Bloco A",COM0139,345
1,2023.1,ELEN CRISTINA GERALDES,2N1234,50,50.0,"FAC- ICC Norte, Bloco A",COM0140,345
1,2023.1,LUISA GUIMARAES LIMA,3N1234,38,40.0,"FAC- ICC Norte, Bloco A",COM0141,345
2,2023.1,LUISA GUIMARAES LIMA,24T56,21,25.0,"FAC- ICC Norte, Bloco A",COM0141,345
1,2023.1,LUIZA SPINOLA AMARAL,4N1234,39,40.0,"FAC- ICC Norte, Bloco A",COM0142,345
2,2023.1,LUIZA SPINOLA AMARAL,46T56,19,20.0,"FAC- ICC Norte, Bloco A",COM0142,345
1,2023.1,KATIA MARIA BELISARIO,2N1234,37,40.0,"FAC- ICC Norte, Bloco A",COM0143,345
